city,type,value,timestamp
skopje,pm10,212,2018-01-01T13:00:00+01:00
skopje,pm10,170,2018-01-02T13:00:00+01:00
skopje,pm10,37,2018-01-03T13:00:00+01:00
skopje,pm10,49,2018-01-04T13:00:00+01:00
skopje,pm10,107,2018-01-05T13:00:00+01:00
skopje,pm10,139,2018-01-06T13:00:00+01:00
skopje,pm10,156,2018-01-07T13:00:00+01:00
skopje,pm10,233,2018-01-08T13:00:00+01:00
skopje,pm10,159,2018-01-09T13:00:00+01:00
skopje,pm10,102,2018-01-10T13:00:00+01:00
skopje,pm10,76,2018-01-11T13:00:00+01:00
skopje,pm10,56,2018-01-12T13:00:00+01:00
skopje,pm10,47,2018-01-13T13:00:00+01:00
skopje,pm10,23,2018-01-14T13:00:00+01:00
skopje,pm10,30,2018-01-15T13:00:00+01:00
skopje,pm10,43,2018-01-16T13:00:00+01:00
skopje,pm10,40,2018-01-17T13:00:00+01:00
skopje,pm10,30,2018-01-18T13:00:00+01:00
skopje,pm10,85,2018-01-19T13:00:00+01:00
skopje,pm10,92,2018-01-20T13:00:00+01:00
skopje,pm10,58,2018-01-21T13:00:00+01:00
skopje,pm10,22,2018-01-22T13:00:00+01:00
skopje,pm10,48,2018-01-23T13:00:00+01:00
skopje,pm10,49,2018-01-24T13:00:00+01:00
skopje,pm10,89,2018-01-25T13:00:00+01:00
skopje,pm10,129,2018-01-26T13:00:00+01:00
skopje,pm10,153,2018-01-27T13:00:00+01:00
skopje,pm10,193,2018-01-28T13:00:00+01:00
skopje,pm10,170,2018-01-29T13:00:00+01:00
skopje,pm10,128,2018-01-30T13:00:00+01:00
skopje,pm10,84,2018-01-31T13:00:00+01:00
skopje,pm10,88,2018-02-01T13:00:00+01:00
skopje,pm10,66,2018-02-02T13:00:00+01:00
skopje,pm10,51,2018-02-03T13:00:00+01:00
skopje,pm10,23,2018-02-04T13:00:00+01:00
skopje,pm10,47,2018-02-05T13:00:00+01:00
skopje,pm10,78,2018-02-06T13:00:00+01:00
skopje,pm10,46,2018-02-07T13:00:00+01:00
skopje,pm10,61,2018-02-08T13:00:00+01:00
skopje,pm10,82,2018-02-09T13:00:00+01:00
skopje,pm10,61,2018-02-10T13:00:00+01:00
skopje,pm10,15,2018-02-11T13:00:00+01:00
skopje,pm10,46,2018-02-12T13:00:00+01:00
skopje,pm10,64,2018-02-13T13:00:00+01:00
skopje,pm10,28,2018-02-14T13:00:00+01:00
skopje,pm10,34,2018-02-15T13:00:00+01:00
skopje,pm10,52,2018-02-16T13:00:00+01:00
skopje,pm10,86,2018-02-17T13:00:00+01:00
skopje,pm10,69,2018-02-18T13:00:00+01:00
skopje,pm10,27,2018-02-19T13:00:00+01:00
skopje,pm10,35,2018-02-20T13:00:00+01:00
skopje,pm10,25,2018-02-21T13:00:00+01:00
skopje,pm10,46,2018-02-22T13:00:00+01:00
skopje,pm10,36,2018-02-23T13:00:00+01:00
skopje,pm10,23,2018-02-24T13:00:00+01:00
skopje,pm10,29,2018-02-25T13:00:00+01:00
skopje,pm10,39,2018-02-26T13:00:00+01:00
skopje,pm10,54,2018-02-27T13:00:00+01:00
skopje,pm10,45,2018-02-28T13:00:00+01:00
